TOT_POP,POP_ESTIMATE_2018,Obesity_number,Heart disease_number,CKD_number,charges
26625.0,26625.0,7930.0,2072.0,771.0,10213
51266.0,51266.0,13713.0,3796.0,1454.0,19282
37779.0,37779.0,10238.0,2222.0,871.0,14283
91984.0,91984.0,25735.0,5484.0,2118.0,33057
134487.0,134487.0,38882.0,8686.0,3490.0,49754
883305.0,883305.0,128455.0,35077.0,17872.0,182564
20299.0,20299.0,5185.0,1433.0,608.0,7266
2801.0,2801.0,640.0,165.0,64.0,850
628195.0,628195.0,148994.0,31557.0,13632.0,196424
4341.0,4341.0,1227.0,260.0,129.0,1660
284081.0,284081.0,71587.0,16890.0,7194.0,93017
8758.0,8758.0,2523.0,640.0,217.0,3322
1952.0,1952.0,539.0,130.0,48.0,710
180454.0,180454.0,54021.0,15219.0,5256.0,75463
11964.0,11964.0,3202.0,734.0,287.0,3877
826.0,826.0,205.0,59.0,23.0,273
19102.0,19102.0,5236.0,1293.0,486.0,6984
678701.0,678701.0,145053.0,32977.0,16872.0,199236
580233.0,580233.0,103855.0,23840.0,11726.0,139023
40571.0,40571.0,11243.0,2457.0,1092.0,14902
26887.0,26887.0,7158.0,1790.0,781.0,9774
13033.0,13033.0,3723.0,903.0,366.0,4991
3653.0,3653.0,952.0,260.0,104.0,1265
93224.0,93224.0,28435.0,7342.0,2530.0,40375
8732.0,8732.0,2555.0,690.0,254.0,3429
23771.0,23771.0,6487.0,1293.0,538.0,8012
127939.0,127939.0,35068.0,9013.0,3571.0,47370
131349.0,131349.0,38982.0,9041.0,3383.0,51164
45313.0,45313.0,11842.0,2923.0,1160.0,16090
4599.0,4599.0,1281.0,334.0,122.0,1697
903.0,903.0,239.0,61.0,23.0,323
102663.0,102663.0,28992.0,6669.0,2575.0,37247
830839.0,830839.0,205361.0,40556.0,17828.0,257886
54811.0,54811.0,13952.0,3913.0,1505.0,19053
51823.0,51823.0,15623.0,3783.0,1530.0,19687
392680.0,392680.0,104680.0,23077.0,9669.0,141823
82299.0,82299.0,24538.0,6615.0,2494.0,35206
44413.0,44413.0,11859.0,2669.0,1009.0,16500
6941.0,6941.0,2279.0,570.0,254.0,3007
6196.0,6196.0,2013.0,416.0,164.0,2481
14134.0,14134.0,3713.0,863.0,342.0,4975
2139.0,2139.0,615.0,198.0,75.0,887
9017.0,9017.0,2959.0,986.0,346.0,4253
9475.0,9475.0,2604.0,630.0,242.0,3901
550210.0,550210.0,127859.0,23497.0,11261.0,154874
295032.0,295032.0,70969.0,15260.0,6683.0,93304
2171603.0,2171603.0,554966.0,93262.0,49429.0,725284
1485941.0,1485941.0,352328.0,104031.0,43465.0,494930
163129.0,163129.0,43398.0,8720.0,3784.0,55000
3532.0,3532.0,1044.0,221.0,90.0,1287
1249.0,1249.0,319.0,73.0,29.0,395
65263.0,65263.0,19571.0,4646.0,1789.0,25573
11931.0,11931.0,3911.0,921.0,357.0,5180
356495.0,356495.0,99150.0,28883.0,10946.0,133006
23081.0,23081.0,3655.0,981.0,447.0,4576
292735.0,292735.0,69361.0,14157.0,6330.0,83104
17787.0,17787.0,5242.0,1513.0,504.0,7388
194160.0,194160.0,54622.0,10041.0,4922.0,69475
32412.0,32412.0,10174.0,2673.0,1089.0,12877
55286.0,55286.0,13092.0,3185.0,1379.0,16558
18634.0,18634.0,4782.0,1050.0,434.0,6590
4506.0,4506.0,1280.0,399.0,190.0,1882
435594.0,435594.0,90415.0,20306.0,10298.0,119010
21485.0,21485.0,5596.0,1081.0,472.0,7114
35567.0,35567.0,10417.0,2499.0,939.0,14147
104712.0,104712.0,27650.0,6677.0,2780.0,38323
274255.0,274255.0,46273.0,12721.0,6334.0,62929
1380645.0,1380645.0,346062.0,66065.0,31062.0,435453
85129.0,85129.0,22099.0,4466.0,1886.0,27512
56310.0,56310.0,10038.0,2593.0,1225.0,14847
179146.0,179146.0,41887.0,9713.0,3772.0,54548
9911.0,9911.0,2986.0,809.0,322.0,4017
21940.0,21940.0,6413.0,1671.0,683.0,8901
3641.0,3641.0,932.0,260.0,95.0,1342
919719.0,919719.0,225957.0,53850.0,22451.0,302227
67420.0,67420.0,14868.0,3852.0,1564.0,22389
192876.0,192876.0,44442.0,8689.0,3587.0,54357
110356.0,110356.0,35277.0,6655.0,2496.0,43454
103066.0,103066.0,26499.0,5633.0,2399.0,30823
78374.0,78374.0,20836.0,5793.0,2306.0,31148
31192.0,31192.0,10272.0,2662.0,1161.0,14068
18128.0,18128.0,4534.0,805.0,356.0,5867
10949.0,10949.0,3325.0,876.0,320.0,4521
114277.0,114277.0,36639.0,8146.0,3204.0,48041
17158.0,17158.0,5057.0,1046.0,430.0,6011
42855.0,42855.0,9864.0,2373.0,1029.0,12304
28759.0,28759.0,9333.0,1884.0,765.0,11512
289615.0,289615.0,84877.0,12677.0,7077.0,101186
17821.0,17821.0,5292.0,1603.0,548.0,7134
151260.0,151260.0,34386.0,5763.0,2667.0,37379
270771.0,270771.0,72368.0,14844.0,6329.0,92042
117123.0,117123.0,35418.0,7178.0,2604.0,45840
151366.0,151366.0,37647.0,6652.0,3412.0,46947
22300.0,22300.0,6846.0,1709.0,682.0,8867
13188.0,13188.0,2570.0,668.0,296.0,3444
446610.0,446610.0,94273.0,19834.0,10260.0,125524
5478.0,5478.0,1378.0,410.0,159.0,1872
13345.0,13345.0,4166.0,1255.0,423.0,5930
142854.0,142854.0,27896.0,6344.0,3246.0,36031
7090.0,7090.0,1866.0,387.0,164.0,2373
22107.0,22107.0,4867.0,1572.0,651.0,6674
130090.0,130090.0,31680.0,6329.0,2656.0,41304
165324.0,165324.0,49260.0,8764.0,4100.0,60820
161503.0,161503.0,51085.0,6919.0,3444.0,59415
20470.0,20470.0,5262.0,1278.0,482.0,7182
8632.0,8632.0,2884.0,878.0,279.0,4126
